YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
,Which writers studied in Istanbul?,"Abdi İpekçi, Abdülhak Şinasi Hisar, Adnan Oktar, Ahmad Amin al-Kadhimi, Ahmed Hikmet, Ahmet Altan, Ahmet Davutoğlu, Ahmet Esat Tomruk, Ahmet Hamdi Tanpınar, Ahmet Haşim, Ahmet Kutsi Tecer, Ahmet Selçuk İlkan, Ahmet Talat Onay, Ahmet Yalçınkaya, Ahmet Ümit, Ali Akbar, Ali Bayramoğlu, Alper Hasanoğlu, Altar Kaplan, Aristotelis Kourtidis, Arman Manukyan, Armen Enovk, Arshag Chobanian, Aslı Der, Aslı Erdoğan, Avedis Alixanian, Aydilge, Ayşe Arman, Ayşe Cemile, Ayşe Kulin, Ayşe Sarısayın, Aziz Çalışlar, Bahadir Kaleagasi, Baris Uygur, Baybars Altuntaş, Bedia Akarsu, Bedri Noyan, Bedros Zaroyan, Behiç Ak, Behçet Necatigil, Bülent Ecevit, Cahit Sıtkı Tarancı, Can Göknil, Celil Oker, Cem Akas, Cem Yılmaz, Cengiz Aktar, Cevat Şakir Kabaağaçlı, Ceyda Aslı Kılıçkıran, Cezmi Ersöz, Demir Özlü, Derya Çolpan, Dilek Zaptçıoğlu, Dimitrie Cantemir, Duygu Asena, Emine Çaykara, Ercan Arıklı, Erden Alkan, Erukhan, Esin Acıman, Etyen Mahçupyan, Eulogios Kourilas Lauriotis, Evren Yiğit, Fatih Özgüven, Fikret Otyam, Gamze Deniz, Georgi Sava Rakovski, Gülistan İsmet, Gülse Birsel, Hagop Mıntzuri, Haldun Taner, Halide Edib Adıvar, Halide Nusret Zorlutuna, Hande Altaylı, Hasan Âli Yücel, Hikmet Temel Akarsu, Hilmi Yavuz, Hilmi Ziya Ülken, Hovahannes Devejyan, Hrant Dink, Huseyn Javid, Ioannis Leontopoulos, Kadir Akbulut, Kazım İsmail Gürkan, Kegham Parseghian, Kemal Tahir, Konstantinos Tsopros, Krikor Zohrab, Kutsiye Bozoklar, Lale Müldür, Levon Larents, Leylâ Erbil, Max Bilen, Mehmet Akif Ersoy, Mehmet Ali Birand, Mehmet Günsür, Mehmet Korhan Erturac, Mehmet Murat Somer, Melkon Giurdjian, Metin Karabaşoğlu, Murat Belge, Mıgırdiç Margosyan, Nazan Aksoy, Nazim Al-Haqqani, Nedim Gürsel, Nedim Şener, Neoklis Sarris, Nigoghos Sarafian, Nihal Bengisu Karaca, Nizamettin Nazif Tepedelenlioğlu, Nurullah Ataç, Nâzım Hikmet Ran, Onnik Chifte-Saraf, Orhan Kural, Orhan Veli Kanık, Oğuz Atay, Perihan Mağden, Pertev Naili Boratav, Petros Markaris, Pınar Kür, Refii Cevat Ulunay, Refik Erduran, Refik Halid Karay, Reteos Berberian, Rexhep Voka, Reşat Ekrem Koçu, Reşat Enis Aygen, Reşat Nuri Güntekin, Reşid Akif Pascha, Roni Margulies, Sabahattin Eyüboğlu, Sadri Ertem, Safiye Erol, Safveti Ziya, Sait Faik Abasıyanık, Samad Agaoglu, Sava Dobroplodni, Selçuk Altun, Seraphim Maximus, Sermet Muhtar Alus, Setenay Özbek, Sevim Burak, Sevinç Çokum, Seyla Benhabib, Seza Kutlar Aksoy, Shavarsh Krissian, Soli Özel, Stoyan Mihaylovski, Sunay Akın, Suzan Emine Kaube, Syuheyl Unver, Süleyman Erguner, Teotig, Tevfik Fikret, Tomris Uyar, Tryfon Evangelidis, Turgut Cansever, Ugür Hüküm, Vartan Ihmalyan, Vazken Andréassian, Yahya Kemal Beyatlı, Yaşar Nabi Nayır, Yener Süsoy, Yeşim Ağaoğlu, Yusuf Ziya Ortaç, Yıldırım Keskin, Yıldırım Türker, Yılmaz Onay, Zehra İpşiroğlu, Zeki Müren, Zeynep Altıok, Zeynep Sevde Paksu, Ziya Gökalp, Çetin Altan, Çiler İlhan, Ömür Gedik, Özdemir Nutku, Ülkü Tamer, İlhan Tarus, İpek Ongun, İsmail Cem İpekçi, İsmet Giritli, Şükûfe Nihal Başar",,"Ahmet Hamdi Tanpınar, Bahadir Kaleagasi, Birhan Keskin, Halide Edib Adıvar, Hikmet Temel Akarsu, Hıfzı Topuz, Leyla Erbil, Mehmet Yaşın, Niyazi Berkes, Pınar Selek, İoanna Kuçuradi, Şaban Özdemir",,100
,Give me all Australian metalcore bands.,Storm the Sky,,"50 Lions, A Breach of Silence, Azure Falls, Buried in Verona, Capture the Crown, Carpathian (band), Confession (band), Deez Nuts (band), Double Dragon (band), Embodiment 12:14, For All Eternity (band), House vs. Hurricane, I Killed the Prom Queen, In Hearts Wake, Mindsnare, Northlane, Our Last Enemy, Parkway Drive, Shoreside, The Amity Affliction, Wish for Wings",,101
,Who is the mayor of Tel Aviv?,Ron Huldai,,Ron Huldai,,381
,Give me all writers that won the Nobel Prize in literature.,"Albert Camus, Aleksandr Solzhenitsyn, Alice Munro, Anatole France, André Gide, Bertrand Russell, Bjørnstjerne Bjørnson, Bob Dylan, Boris Pasternak, Camilo José Cela, Carl Spitteler, Claude Simon, Czesław Miłosz, Dario Fo, Derek Walcott, Doris Lessing, Elfriede Jelinek, Elias Canetti, Erik Axel Karlfeldt, Ernest Hemingway, Eugene O'Neill, Eugenio Montale, Eyvind Johnson, Frans Eemil Sillanpää, François Mauriac, Frédéric Mistral, Gabriel García Márquez, Gabriela Mistral, Gao Xingjian, George Bernard Shaw, Gerhart Hauptmann, Giorgos Seferis, Giosuè Carducci, Grazia Deledda, Günter Grass, Halldór Laxness, Harold Pinter, Harry Martinson, Heinrich Böll, Henri Bergson, Henrik Pontoppidan, Henryk Sienkiewicz, Hermann Hesse, Herta Müller, Imre Kertész, Isaac Bashevis Singer, Ivan Bunin, Ivo Andrić, J. M. Coetzee, Jacinto Benavente, Jaroslav Seifert, Jean-Marie Gustave Le Clézio, Jean-Paul Sartre, Johannes V. Jensen, John Galsworthy, John Steinbeck, Joseph Brodsky, José Echegaray, José Saramago, Juan Ramón Jiménez, Karl Adolph Gjellerup, Kazuo Ishiguro, Kenzaburō Ōe, Knut Hamsun, Luigi Pirandello, Mario Vargas Llosa, Maurice Maeterlinck, Michail Sholokhov, Miguel Ángel Asturias Rosales, Mo Yan, Nadine Gordimer, Naguib Mahfouz, Nelly Sachs, Octavio Paz, Odysseas Elytis, Orhan Pamuk, Pablo Neruda, Patrick Modiano, Patrick White, Paul Heyse, Pearl S. Buck, Pär Lagerkvist, Rabindranath Tagore, Roger Martin du Gard, Romain Rolland, Rudolf Christoph Eucken, Rudyard Kipling, Saint-John Perse, Salvatore Quasimodo, Samuel Beckett, Saul Bellow, Seamus Heaney, Selma Lagerlöf, Shmuel Yosef Agnon, Sigrid Undset, Sinclair Lewis, Sully Prudhomme, Svetlana Aleksievich, T. S. Eliot, Theodor Mommsen, Thomas Mann, Tomas Tranströmer, Toni Morrison, V. S. Naipaul, Verner von Heidenstam, Vicente Aleixandre, William Butler Yeats, William Faulkner, William Golding, Wisława Szymborska, Wole Soyinka, Władysław Reymont, Yasunari Kawabata",,"Aleksandr Solzhenitsyn, Alice Munro, Czesław Miłosz, Ernest Hemingway, Eugene O'Neill, Gerhart Hauptmann, Harold Pinter, Hermann Hesse, John Steinbeck, Joseph Brodsky, José Saramago, Juan Ramón Jiménez, Pablo Neruda, Patrick Modiano, Seamus Heaney, Svetlana Alexievich, T. S. Eliot, Thomas Mann, Toni Morrison, William Golding, Wisława Szymborska",,33
,Who is the tallest player of the Atlanta Falcons?,Matt Willig,,Matt Schaub,,31
,Which states border Illinois?,"Indiana, Iowa, Kentucky, Michigan, Missouri, Wisconsin",,"Indiana, Iowa, Kentucky, Missouri, Wisconsin",,36
,Show me Hemingway's autobiography.,A Moveable Feast,,A Moveable Feast,,391
,To which party does the mayor of Paris belong?,Socialist Party,,Socialist Party (France),,310
,In which city does Sylvester Stallone live?,Beverly Hills,,"Beverly Hills, California",,377
,Who was the first to climb Mount Everest?,"Edmund Hillary, Tenzing Norgay",,"Edmund Hillary, Krzysztof Wielicki, Leszek Cichy, Tenzing Norgay",,384
"Adolphe Monticelli, Anton Mauve, Frans Hals, Hals, Mauve",Who was Vincent van Gogh inspired by?,,,Anton Mauve,,339
,Where is Syngman Rhee buried?,Seoul National Cemetery,,Seoul National Cemetery,,333
,Give me all Apollo 14 astronauts.,"Alan Shepard, Edgar Mitchell, Stuart Roosa",,"Alan Shepard, Edgar Mitchell, Stuart Roosa",,61
,Who is the governor of Wyoming?,Mark Gordon,,Matt Mead,,66
